3,1,0,1,Какое из этих животных умеет лазить по деревьям?,1,Кошка,2,Бегемот,3,Дикобраз,4,Крот,50,1
2,2,0,1,Какая из этих эпох была раньше?,5,Античность,6,Эпоха Возрождения,7,Эпоха Великих Географических открытий,8,Средневековье,50,1
8,3,0,1,Какая из этих рек протекает в Африке?,9,Лимпопо,10,Миссури,11,Рио-Гранде,12,Колорадо,50,1
1,4,0,1,Для какого из этих видов спорта есть разновидность игры с мячом?,13,Хоккей,14,Керлинг,15,Биатлон,16,Шашки,50,2
7,5,0,1,Какой из этих богов не был верховным?,17,Вулкан,18,Ра,19,Зевс,20,Один,50,2
4,6,0,1,Какая из этих кинопремий существует на самом деле?,21,Золотая малина,22,Серебряная ежевика,23,Бронзовая смородина,24,Платиновый крыжовник,50,2
6,7,1,1,Какова атомная масса хлора?,25,35;453,26,39;948,27,32;065,28,40;078,50,3
1,9,0,1,В честь какой горы названы регулярные спортивные соревнования?,33,Олимп,34,Псилоритис,35,Афон,36,Парнас,50,3
2,10,0,1,С помощью чего в средние века ставилась печать на письма?,37,Перстень,38,Меч,39,Корона,40,Подкова,50,3
3,11,0,1,Какое из этих насекомых имеет жало?,41,Оса,42,Божья коровка,43,Таракан,44,Муравей,50,4
4,12,0,1,Как называется музыка написанная специально для фильма?,45,Тема,46,Заголовок,47,Задача,48,Предмет,50,4
5,13,0,1,Какие краски для рисования существуют?,49,Масляные,50,Сырные,51,Колбасные,52,Хлебные,50,4
6,14,0,1,Какой из этих приборов не увеличивает изображение?,53,Компас,54,Микроскоп,55,Телескоп,56,Подзорная труба,50,5
7,15,0,1,Какая популярная ныне традиция пришла от североамериканских индейцев?,57,Курение табака,58,Распитие алкоголя,59,Кулачные бои,60,Пение песен,50,5
8,16,0,1,Что такое Лох-Несс?,61,Озеро,62,Море,63,Горы,64,Лес,50,5
6,17,0,1,Какая наука изучает птиц?,65,Орнитология,66,Уфология,67,Ихтиология,68,Дендрология,50,1
1,18,0,1,Чем посыпают площадку перед соревнованиями по сумо?,69,Соль,70,Сахар,71,Речной песок,72,Измельченный бамбук,50,1
2,19,0,1,Какая из этих стран находистя в Азии?,73,Индия?,74,Германия,75,Бразилия,76,Кения,50,1
3,20,0,1,Что из этого формируют грибы?,77,Ведьмины круги,78,Магические кольца,79,Шерсть оборотней,80,Кладбища кораблей,50,2
1,21,0,1,Акробатические трюки на каких животных называются вольтижировкой?,81,Лошади,82,Быки,83,Бизоны,84,Ослы,50,2
2,22,0,1,Какой из этих штатов был куплен США у Российском Империи?,85,Аляска,86,Гаваи,87,Техас,88,Вашингтон,50,2
5,8,0,1,С каким цветом нужно смешать красный; чтобы получить оранжевый?,29,Желтый,30,Черный,31,Синий,32,Фиолетовый,50,3
5,23,0,1,Как звали дворецкого: который прислуживал чете Баскервилей?,89,Берримор,90,Паркер,91,Прескотт,92,Джейсон,50,3
4,24,0,1,Действия какого фильма происходят на планете под названием Пандора?,93,Аватар,94,Обитель зла,95,Чужой,96,Планета обезьян,50,3
6,25,0,1,Лауреатом Нобелевской премии в какой области был Боб Дилан?,97,Литература,98,Химия,99,Физика,100,Мир,50,4
7,26,0,1,В какой стране цветом смерти является желтый?,101,Мексика,102,Китай,103,Индия,104,Чили,50,4
8,27,0,1,Что из этого является слоем в верхней мантии планеты?,105,Астеносфера,106,Континентальная кора,107,Внешнее ядро,108,Тропосфера,50,4
6,28,0,1,У какой из этих планет ускорение свободногопадения на поверхности наименьшее?,109,Уран,110,Земля,111,Сатурн,112,Нептун,50,5
3,29,0,1,Что такое гигантский автсралийский трубач?,113,Улитка,114,Муравей,115,Слизняк,116,Жук,50,5
7,30,0,1,Какой из этих народо не хоронит своих предков?,117,Эскимосы,118,Эвены,119,Орочи,120,Нанайцы,50,5
